Test Case ID,Test Run Id,Failed Steps,Exception Name,Execution Time for test step,Predecessor TestCase ID,Successor TestCase ID,Buckets Items
457,122,5.1,Fails to navigate step2,16:22.3,0,457,Automation Issue
457,122,5.7,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.5,457,457,Automation Issue
457,122,5.8,"Verification Failed. Expected value: ""Name:'data_policiy_id' ""No such attribute",16:22.6,457,457,Automation Issue
457,122,5.9,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.7,457,457,Automation Issue
457,122,6.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.7,457,457,Automation Issue
457,122,6.2,"Verification Failed. Expected value: ""Name:'q' ""No such attribute",16:22.8,457,457,Application Issue
457,122,6.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.8,457,457,Automation Issue
457,122,6.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.9,457,457,Automation Issue
457,122,6.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:22.9,457,457,Automation Issue
457,122,7.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.0,457,457,Automation Issue
457,122,7.4,"Inavlid selector:Unable to locate element: {""method"":""xpath"",""selector"":""//div[@id=""FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-Insured""]/div/div""}",16:23.1,457,457,Automation Issue
457,122,7.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.2,457,457,Automation Issue
457,122,7.6,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.2,457,457,Automation Issue
457,122,7.7,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.3,457,457,Automation Issue
457,122,7.8,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.4,457,457,Automation Issue
457,122,7.9,Verfication Failed. ElementNotVisibleException: {id='Submit'},16:23.4,457,457,Application Issue
457,122,7.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.4,457,457,Automation Issue
457,122,7.11,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.5,457,457,Automation Issue
457,122,7.12,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.6,457,457,Automation Issue
457,122,7.13,Unable to set date: java.time.DateTimeException,16:23.6,457,457,Timing Exception
457,122,7.14,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.7,457,457,Automation Issue
457,122,7.16,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.7,457,457,Automation Issue
457,122,8.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",16:23.8,457,457,Automation Issue
