Test Case ID,Test Run Id,Failed Steps,Exception Name,Execution Time for test step,Test Step Update Date,Test Case Update Date,Data Sheet Update Date,Failure Date for a step,Failure type- Update Date,Predecessor TestCase ID,Successor TestCase ID,Buckets Items
457,122,5.1,TimeoutException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,NULL,457,Automation Issue
457,122,5.7,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Application Issue
457,122,5.8,"Verification Failed. Expected value: ""Name:'data_policiy_id' ""No such attribute",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Application Issue
457,122,5.9,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,6.1,TOO_MANY_ROWS Exception,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Data related Issue
457,122,6.2,"Verification Failed. Expected value: ""Name:'q' ""No such attribute",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Application Issue
457,122,6.3,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,6.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,6.5,TOO_MANY_ROWS Exception,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Data related Issue
457,122,7.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,7.4,"Inavlid selector:Unable to locate element: {""method"":""xpath"",""selector"":""//div[@id=""FindPolicyScreen-FNOLWizardFindPolicyPanelSet-PolicyResultLV-0-Insured""]/div/div""}",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Automation Issue
457,122,7.5,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Automation Issue
457,122,7.6,JsonException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,7.7,ConnectionClosedException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,7.8,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Automation Issue
457,122,7.9,Verfication Failed. ElementNotVisibleException: {id='Submit'},7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Application Issue
457,122,7.1,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,7.11,ConnectionClosedException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Automation Issue
457,122,7.12,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,7.13,Unable to set date: java.time.DateTimeException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Timing Exception
457,122,7.14,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,7.16,constarint database exception,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Data related Issue
457,122,8.1,ConnectionClosedException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,8.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,8.3,"TimeoutException: Message: timeout(Session info: chrome=71.0.3578.98)(Driver info: chromedriver=2.42.591088 (7b2b2dca23cca0862f674758c9a3933e685c27d5),platform=Windows NT 10.0.17763 x86_64)",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/12/19,457,457,Automation Issue
457,122,8.4,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,8.5,DUP_VAL_ON_INDEX Exception,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/10/19,457,457,Automation Issue
457,122,8.6,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,9.1,ConnectionClosedException,7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
457,122,9.2,"Verification Failed. Expected text: ""Manual Handling"" Not found in element",7/10/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/9/2019 17:16,7/10/2019 17:16,07/11/19,457,457,Automation Issue
