REVIEW,SENTIMENT,Module
"Update: Now that the tech issues have been addressed, changing to 4 stars from 1 star earlier. The checkin functionality is great and also like to call out ability to view incoming flights, often 3-4 flights down. Need to have Altitude Status and progression integrated into the app.",Positive,Update
Changing my rating since the problems are fixed in new update. Good work Air Canada.,Positive,Update
App worked pretty much as expected. Could have used terminal maps to know where we were going for our next gate.,Positive,Maps
"Highly recommend when you travel with Air Canada, Air Canada Rouge or AC Express.",Positive,Application Crashes
The app went from very useful to absolutely useless to useful again.,Positive,Application Crashes
Finally fixed! Thank you Air Canada,Positive,Application Crashes
I really like the previous interface. It was a big upgrade from the old app and yet the new interface had some welcome user friendly UI additions. What I don't understand is why some useful features were taken away such as integrating itinerary into the Calendar app and being able to change payment/personal info in the app rather than getting redirected to a browser.,Positive,Payment Page
"Since they moved to the new platform, the app has improved, but it now shows annoying messages about the need to update, which lead to nowhere, since Google store already made auto update. Otherwise, functionality is there.",Positive,Update
"Loved the new app interface, definitely innovative and user friendly. The animations are quite smooth. Boarding pass details not only provides pure information but also gives flight status which is pretty helpful.",Positive,Flight Status
"Love the Air Canada app. Best one I have seen across all the airlines I have been on. Good UI/UX, and excellent view of flights info, boarding pass and my trips",Positive,User Experience
"Much more user friendly than the old one, but still needs some tweaks.",Positive,User Experience
Having access to everything I need in one place had made my travel experience second to none!,Positive,User Experience
Love that you can track inbound routes. Simple but great.,Positive,Maps
Booking references not found? I can check my booking just fine on air Canada website so this app is not working. Update27.2.2020 - it's working again. Hopefully it still works after future updates.,Positive,Booking Page
Flight details and boarding pass at your fingertips..,Positive,My trips page
This new updated app has wonderful user interface. Got huge dicounts. Thanks buddies.,Positive,User Experience
Easy to use and understand,Positive,User Experience
No hassle app. Very smooth going...,Positive,User Experience
"Most convenient , fast and helpful",Positive,User Experience
"Still buggy.... unable to select meal preference (once selected in the app, the entire app shuts down), plus seating preference (window/aisle) has completely disappeared as an option from the updated app? Visually, much better looking though.",Positive,Booking Page
Love that you can track inbound routes. Simple but great.,Positive,Maps
Can no longer store altitude card. Otherwise nice update.,Positive,User Experience
"good, but it should be better to be downloaded in China's app store",Positive,
"So much happier with the new app. Haven't had time to really check the whole thing out, but had to provide some feedback.",Positive,User Experience
Love this app! Gives you up to date status and provides everything you need at the touch of a button!,Positive,My trips page
"Great flight tracking, schedules and app only features. Besides the usual schedules, alerts, booking, the are some nifty app only features like tracking the Inbound flight (know the chances of your flight getting delayed), view flight load and an offline boarding pass.",Positive,My trips page
"Here is a feature request for the android smart watch (wear OS) version of the app. Please make the app force the display of the watch to stay on for at least 60 seconds when displaying the boarding pass. And also please display the boarding pass on first screen and allow to slide right to see fly detail. As the app is now, it's practically impossible to use as the watch always go back in ambient mode to soon. Best regards",Positive,Boarding
"After december 10th update, app will not load. I get an error message now and the app shuts down. nice. I really need this app to work for upcoming flights, this is very frustrating for me, and, I'm guessing many others. Update...the next Updatefixed the shutdown problem and the app runs much better...thank you for fixing! Bugs were fixed, for sure, no troubles for 6 months or more. Thank you, again for fixing!",Positive,Update
Great service always.,Positive,User Experience
"I travel with Air Canada at least twice a month. About a year ago, this app was garbage. Now, it makes flying simpler. Period. If you fly Air Canada, use the app. 4 stars because room for improvement aesthetically and could use more seamless integration with tracking booked flights and calendar apps.",Positive,Booking Page
No idea why there aren't higher reviews for this app. Not a major fan of this airline but the app is so convenient that it actually names me want to fly more often with aircanada. Hoping this means improvements across the board for the whole company.,Positive,User Experience
