Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1698.0775289205694
FDW14,OUT017,1600.698237408198
NCN55,OUT010,541.802769897038
FDQ58,OUT017,2594.2530435610547
FDY38,OUT027,6112.781219262453
FDH56,OUT046,1890.1986604826075
FDL48,OUT018,558.0635253435785
FDC48,OUT027,1977.8998514600025
FDN33,OUT045,1518.7864606299806
FDA36,OUT017,3094.370631566105
FDT44,OUT017,2019.6679460887444
FDQ56,OUT045,1250.2423735464863
NCC54,OUT019,552.130890451867
FDU11,OUT049,2125.788463014039
DRL59,OUT013,869.5667849856407
FDM24,OUT049,2789.435370282196
FDI57,OUT045,3963.4123101666696
DRC12,OUT018,2883.4902260400945
NCM42,OUT027,2852.9592564372133
FDA46,OUT010,514.0221588483171
FDA31,OUT013,2990.0623459942417
NCJ31,OUT035,3622.6559382047326
FDG52,OUT046,797.7004418492079
NCL19,OUT019,274.39799766513204
FDS10,OUT035,3178.057766517117
FDX22,OUT010,437.8351057940963
NCF19,OUT035,940.0904014585433
NCE06,OUT046,2295.1731792607443
DRC27,OUT046,3731.3005572574743
FDE21,OUT035,1990.0966233910585
NCR42,OUT019,157.05990239708
FDX51,OUT018,2841.5624412119846
NCR06,OUT018,567.2338432953802
FDU31,OUT027,5991.49407760893
FDU59,OUT017,2568.1752808415054
FDR03,OUT027,5447.868846195248
FDS49,OUT027,2310.303466135338
FDD48,OUT010,108.10141622091624
NCF18,OUT017,3025.4061123924794
NCD43,OUT027,2774.0874792623044
NCD54,OUT018,1962.6561446701758
FDY19,OUT010,244.18672766160637
NCY54,OUT017,2508.519214614341
NCL19,OUT018,1996.411534207456
FDP23,OUT010,640.3266341625258
FDC26,OUT013,1881.3040705136495
FDR14,OUT010,71.91744920789881
NCS41,OUT035,3287.720411532199
FDF41,OUT035,4066.187482567851
FDU34,OUT046,1917.0549323921077
DRH11,OUT046,1063.8849384586126
FDM03,OUT013,2033.1417923304657
FDS31,OUT017,3259.7288593172602
FDJ20,OUT017,2063.497954577057
FDV44,OUT027,5206.812625126309
FDG02,OUT049,3160.0925232280906
