Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1839.1432640071507
FDW14,OUT017,1520.136945261911
NCN55,OUT010,1882.5909570674035
FDQ58,OUT017,2577.6025956740286
FDY38,OUT027,5129.053731857848
FDH56,OUT046,1952.4762162619782
FDL48,OUT018,596.6755444852847
FDC48,OUT027,2782.7272370454357
FDN33,OUT045,1490.1040234742877
FDA36,OUT017,3088.169268526476
FDT44,OUT017,2021.7280350423007
FDQ56,OUT045,1332.9743544771557
NCC54,OUT019,1870.125383821814
FDU11,OUT049,2054.6405280879258
DRL59,OUT013,912.0205745574244
FDM24,OUT049,2551.9391478447315
FDI57,OUT045,3270.427096782021
DRC12,OUT018,2753.4083154088516
NCM42,OUT027,3185.4330646037056
FDA46,OUT010,1115.2053869865806
FDA31,OUT013,2827.791098761084
NCJ31,OUT035,3879.869025780746
FDG52,OUT046,771.7685354156142
NCL19,OUT019,374.6310241354338
FDS10,OUT035,3012.3027869769194
FDX22,OUT010,1449.995126552365
NCF19,OUT035,911.6459670105917
NCE06,OUT046,2522.0868819634347
DRC27,OUT046,3862.549281050305
FDE21,OUT035,2057.1271743954685
NCR42,OUT019,-1372.0842363936986
FDX51,OUT018,2868.229368825416
NCR06,OUT018,417.7147092038224
FDU31,OUT027,4979.847215748261
FDU59,OUT017,2713.989609715717
FDR03,OUT027,4757.946821029756
FDS49,OUT027,2778.442785354559
FDD48,OUT010,-70.31821667140525
NCF18,OUT017,3106.8244205883398
NCD43,OUT027,3091.3121346502608
NCD54,OUT018,1983.7753333342484
FDY19,OUT010,-4.9868316400049935
NCY54,OUT017,2795.797399319737
NCL19,OUT018,2027.7398191441384
FDP23,OUT010,1539.0724808983387
FDC26,OUT013,1841.273514375171
FDR14,OUT010,-1098.6232897837356
NCS41,OUT035,3047.2100830060813
FDF41,OUT035,4016.0317371293536
FDU34,OUT046,1987.2997526671006
DRH11,OUT046,942.5028440999536
FDM03,OUT013,1730.538588141541
FDS31,OUT017,3057.363759671043
FDJ20,OUT017,2127.280845015104
FDV44,OUT027,4523.222036257881
FDG02,OUT049,3134.675211294209
FDA09,OUT013,2934.9639128653744
FDT04,OUT013,644.6867137791398
FDL58,OUT019,2277.7734798243755
FDE52,OUT045,1392.7866995353877
FDW12,OUT035,2506.4933719988776
FDL51,OUT017,3506.12296962329
NCY42,OUT027,3682.251672138135
FDR07,OUT017,1694.3870176795158
FDN40,OUT045,2329.0754366441934
FDB35,OUT027,2976.4506372965807
FDA22,OUT017,2757.0578571198166
NCL06,OUT046,4103.8249602327305
FDI35,OUT013,2937.720064563917
NCW42,OUT045,3401.153553708157
NCX06,OUT049,2933.757653771741
FDC37,OUT027,3200.652501645935
FDZ14,OUT018,1681.1206734700995
DRG49,OUT049,3943.9374654057806
NCG06,OUT045,3948.7255264760356
DRC36,OUT045,2712.6821606919098
FDV21,OUT019,30.54057085738691
FDB53,OUT046,2320.6183124874506
DRP47,OUT019,2045.704042293963
FDA14,OUT013,2297.9056432240427
DRC24,OUT035,2563.572757280773
FDW21,OUT018,1393.517818410457
NCH29,OUT046,1571.3031450771064
FDU58,OUT013,3066.231933522265
FDY27,OUT017,2885.8537698548143
FDV56,OUT035,1984.2403355440692
FDT59,OUT046,3667.1857575719073
FDB23,OUT046,3649.1914405609928
FDR49,OUT045,709.6629983818332
FDB03,OUT010,1855.3138802231706
FDN39,OUT045,2629.4247526768368
FDX02,OUT027,4932.885590689028
FDQ16,OUT027,3163.7605868509595
FDU35,OUT018,1328.5759217952138
NCT29,OUT013,1979.3709273129211
FDZ27,OUT046,769.989644997383
FDN57,OUT017,2339.159134051757
FDA03,OUT018,2044.3991788886105
FDZ36,OUT045,2920.0116422622887
NCU05,OUT013,1342.867377921334
FDT39,OUT018,2189.537310507339
FDK60,OUT017,1708.2845404270583
FDZ25,OUT017,2875.796778732636
FDG12,OUT046,2017.41924184633
DRB01,OUT019,1099.7618022086851
NCC43,OUT027,5360.3565374257705
FDX13,OUT019,2058.6962663936256
FDM22,OUT049,1017.2861701814697
FDJ03,OUT027,2256.853166480082
FDU14,OUT018,3637.627052637646
FDB33,OUT010,668.121250204362
FDP27,OUT046,3007.7435791215476
FDO38,OUT010,-646.7348549636706
FDE28,OUT027,5113.031053153898
FDO27,OUT035,1692.20578209015
DRL23,OUT027,3189.8737197060605
FDS28,OUT046,936.4757175822454
FDX24,OUT013,1543.4741222484054
FDZ02,OUT035,1700.606842471661
FDL46,OUT045,1799.8881620584616
FDS60,OUT027,4300.014650588093
NCO06,OUT017,624.0805146637474
FDO16,OUT035,1504.2447156986154
FDC60,OUT049,1540.4277910096375
FDA48,OUT018,3192.622599155931
FDZ36,OUT027,4469.924813133499
FDK27,OUT045,1881.5512197852067
FDW23,OUT018,377.6933186363939
FDM14,OUT018,1534.7639690982837
FDM14,OUT013,1813.7110588163664
FDW60,OUT018,2603.942737460641
FDE21,OUT013,1942.5578776040147
NCM42,OUT035,1875.1452440396247
FDY59,OUT010,-383.63049261050696
DRI49,OUT049,1357.4172678460257
FDT28,OUT019,481.5348580826949
FDQ22,OUT018,394.4893414583602
FDR60,OUT049,1325.7118952523228
FDC50,OUT019,-383.3585731386645
FDV24,OUT013,2439.168150447186
DRF48,OUT010,1075.372647627095
FDQ47,OUT046,643.0328264307857
DRN36,OUT049,1647.3548211211532
NCY06,OUT035,2165.077184347632
FDE52,OUT035,1597.1599020819403
