Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1736.7271419908911
FDW14,OUT017,1414.6533518353997
NCN55,OUT010,2821.9198012074617
FDQ58,OUT017,2453.633806551332
FDY38,OUT027,4516.36021873656
FDH56,OUT046,1799.4628115865503
FDL48,OUT018,599.2046437056995
FDC48,OUT027,2121.486205908992
FDN33,OUT045,1544.897946369279
FDA36,OUT017,2949.7805313668027
FDT44,OUT017,1892.4051059648823
FDQ56,OUT045,1369.0370671327578
NCC54,OUT019,2717.6931528462997
FDU11,OUT049,1963.2509617524724
DRL59,OUT013,953.4968019076578
FDM24,OUT049,2448.6073688989586
FDI57,OUT045,3122.000138305333
DRC12,OUT018,2767.7746099869723
NCM42,OUT027,2538.8313767224354
FDA46,OUT010,2095.74135977018
FDA31,OUT013,2892.5036566908425
NCJ31,OUT035,3785.460409972801
FDG52,OUT046,669.3291762274175
NCL19,OUT019,1191.7559259950183
FDS10,OUT035,2892.4049562206205
FDX22,OUT010,2376.7219666108263
NCF19,OUT035,793.8789590983463
NCE06,OUT046,2415.6278132345833
DRC27,OUT046,3712.456261209188
FDE21,OUT035,1909.8905857019486
NCR42,OUT019,-528.2644712135894
FDX51,OUT018,2856.475015659145
NCR06,OUT018,425.282077654217
FDU31,OUT027,4291.534913168551
FDU59,OUT017,2595.5175076046444
FDR03,OUT027,4079.1666193227734
FDS49,OUT027,2120.2712398035064
FDD48,OUT010,860.4550129391739
NCF18,OUT017,2997.803039354451
NCD43,OUT027,2440.5854458123886
NCD54,OUT018,1993.5771507890404
FDY19,OUT010,912.9903724407134
NCY54,OUT017,2714.3733631195464
NCL19,OUT018,2023.0583266069189
FDP23,OUT010,2467.1929763659714
FDC26,OUT013,1910.8391958369375
FDR14,OUT010,-65.74854370227996
NCS41,OUT035,2913.586937920119
FDF41,OUT035,3934.7727723317453
FDU34,OUT046,1874.1127380373296
DRH11,OUT046,809.9239580345479
FDM03,OUT013,1813.202546911211
FDS31,OUT017,2899.650141844421
FDJ20,OUT017,1983.0746061560194
FDV44,OUT027,3839.920171892291
FDG02,OUT049,3010.4718777090598
FDA09,OUT013,2981.7533017307696
FDT04,OUT013,744.627892226428
FDL58,OUT019,3125.619356622082
FDE52,OUT045,1445.5295593320554
FDW12,OUT035,2365.9269803735538
FDL51,OUT017,3397.841225706557
NCY42,OUT027,3031.670232814458
FDR07,OUT017,1556.8858902640657
FDN40,OUT045,2397.2192071727745
FDB35,OUT027,2296.9859047994837
FDA22,OUT017,2622.409489228714
NCL06,OUT046,3988.18281553092
FDI35,OUT013,2978.8405805550096
NCW42,OUT045,3444.695377761502
NCX06,OUT049,2832.513543287116
FDC37,OUT027,2541.7080969148883
FDZ14,OUT018,1713.5586703737995
DRG49,OUT049,3860.8473960132183
NCG06,OUT045,3984.58154903472
DRC36,OUT045,2743.6154575670225
FDV21,OUT019,936.9340010895476
FDB53,OUT046,2237.2396506296855
DRP47,OUT019,2910.7287752746724
FDA14,OUT013,2399.2231402222005
DRC24,OUT035,2441.979808436603
FDW21,OUT018,1391.0191070500234
NCH29,OUT046,1430.7301514322976
FDU58,OUT013,3122.947887156763
FDY27,OUT017,2791.0456185423263
FDV56,OUT035,1820.7294187520965
FDT59,OUT046,3521.169449365177
FDB23,OUT046,3473.5198929196436
FDR49,OUT045,755.3451579833998
FDB03,OUT010,2863.633829638926
FDN39,OUT045,2634.4860957946944
FDX02,OUT027,4315.517500192962
FDQ16,OUT027,2528.7904584762778
FDU35,OUT018,1341.4394627622369
NCT29,OUT013,2036.5077587203236
FDZ27,OUT046,669.7254922135978
FDN57,OUT017,2222.4994841545677
FDA03,OUT018,2072.566455034942
FDZ36,OUT045,2946.444060767098
NCU05,OUT013,1399.243425557321
FDT39,OUT018,2175.9640398558945
FDK60,OUT017,1578.846015985277
FDZ25,OUT017,2713.5690363825356
FDG12,OUT046,1864.6230112079447
DRB01,OUT019,1964.8697441519435
NCC43,OUT027,4729.2577044212085
FDX13,OUT019,2880.2717661342776
FDM22,OUT049,914.2113058504917
FDJ03,OUT027,1633.9142836013507
FDU14,OUT018,3665.269876098056
FDB33,OUT010,1574.0976134638006
FDP27,OUT046,2897.787244442205
FDO38,OUT010,287.50030810440865
FDE28,OUT027,4491.7556734758655
FDO27,OUT035,1592.4038773237953
DRL23,OUT027,2513.01363628173
FDS28,OUT046,827.48275873392
FDX24,OUT013,1597.4771326976252
FDZ02,OUT035,1598.1529555656762
FDL46,OUT045,1843.9399923363171
FDS60,OUT027,3638.486705047692
