Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2183.926850390168
FDW14,OUT017,2155.404976673948
NCN55,OUT010,1963.2094307968837
FDQ58,OUT017,2251.70374831972
FDY38,OUT027,2607.46391856837
FDH56,OUT046,2152.7527632429433
FDL48,OUT018,2008.5403548962583
FDC48,OUT027,2387.1424566473515
FDN33,OUT045,2131.355961126665
FDA36,OUT017,2270.375277189354
FDT44,OUT017,2176.9396811829283
FDQ56,OUT045,2114.1168648729513
NCC54,OUT019,1890.4066650662976
FDU11,OUT049,2164.0153381267123
DRL59,OUT013,2098.6664951978582
FDM24,OUT049,2198.053261945817
FDI57,OUT045,2300.0309216775604
DRC12,OUT018,2195.8227752005396
NCM42,OUT027,2438.4996748736357
FDA46,OUT010,1904.1634243402914
FDA31,OUT013,2276.173392940904
NCJ31,OUT035,2294.0874754949505
FDG52,OUT046,2030.784165705321
NCL19,OUT019,1791.529855328051
FDS10,OUT035,2297.785086676206
FDX22,OUT010,1984.184306411491
NCF19,OUT035,2094.6370133558794
NCE06,OUT046,2180.6498007424866
DRC27,OUT046,2296.9675978632076
FDE21,OUT035,2210.094678818002
NCR42,OUT019,1648.1124333176988
FDX51,OUT018,2246.6349544980744
NCR06,OUT018,2025.4105751126472
FDU31,OUT027,2618.010852051665
FDU59,OUT017,2231.2254157388743
FDR03,OUT027,2595.1122565541814
FDS49,OUT027,2389.9387246791284
FDD48,OUT010,1808.2254815137685
NCF18,OUT017,2272.0026463707177
NCD43,OUT027,2434.583900118876
NCD54,OUT018,2164.204654720848
FDY19,OUT010,1840.0246572738329
NCY54,OUT017,2213.945354035291
NCL19,OUT018,2140.861445717108
FDP23,OUT010,1971.5817298420716
FDC26,OUT013,2177.080329445931
FDR14,OUT010,1675.0079397678576
NCS41,OUT035,2258.120523438544
FDF41,OUT035,2346.0678344988437
FDU34,OUT046,2151.9916404377186
DRH11,OUT046,2016.8468107782714
FDM03,OUT013,2165.515556207505
FDS31,OUT017,2292.7971342363817
FDJ20,OUT017,2194.947691285002
FDV44,OUT027,2571.4697437505515
FDG02,OUT049,2287.1199973763482
FDA09,OUT013,2328.602876596319
FDT04,OUT013,2073.162186228002
FDL58,OUT019,1975.9068787241606
FDE52,OUT045,2151.272356536881
FDW12,OUT035,2223.7145689618405
FDL51,OUT017,2337.5329974353654
NCY42,OUT027,2487.468603406484
FDR07,OUT017,2156.4927850367417
FDN40,OUT045,2199.946679677193
