Review,Sentiment
"Update : Now that the tech issues have been addressed, changing to 4 stars from 1 star earlier. The checkin functionality is great and also like to call out ability to view incoming flights, often 3-4 flights down. Need to have Altitude Status and progression integrated into the app.",Positive
Changing my rating since the problems are fixed in new update. Good work Air Canada.,Positive
App worked pretty much as expected. Could have used terminal maps to know where we were going for our next gate.,Positive
"Highly recommend when you travel with Air Canada, Air Canada Rouge or AC Express.",Positive
The app went from very useful to absolutely useless to useful again.,Positive
Finally fixed! Thank you Air Canada,Positive
I really like the previous interface. It was a big upgrade from the old app and yet the new interface had some welcome user friendly UI additions. What I don't understand is why some useful features were taken away such as integrating itinerary into the Calendar app and being able to change payment/personal info in the app rather than getting redirected to a browser.,Positive
"Since they moved to the new platform, the app has improved, but it now shows annoying messages about the need to update, which lead to nowhere, since Google store already made auto update. Otherwise, functionality is there.",Positive
"Loved the new app interface, definitely innovative and user friendly. The animations are quite smooth. Boarding pass details not only provides pure information but also gives flight status which is pretty helpful.",Positive
"Love the Air Canada app. Best one I have seen across all the airlines I have been on. Good UI/UX, and excellent view of flights info, boarding pass and my trips",Positive
"Much more user friendly than the old one, but still needs some tweaks.",Positive
Having access to everything I need in one place had made my travel experience second to none!,Positive
Love that you can track inbound routes. Simple but great.,Positive
Booking references not found? I can check my booking just fine on air Canada website so this app is not working. Update 27.2.2020 - it's working again. Hopefully it still works after future updates.,Positive
Flight details and boarding pass at your fingertips..,Positive
This new updated app has wonderful user interface. Got huge dicounts. Thanks buddies.,Positive
Easy to use and understand,Positive
No hassle app. Very smooth going...,Positive
"Most convenient , fast and helpful",Positive
"Still buggy.... unable to select meal preference (once selected in the app, the entire app shuts down), plus seating preference (window/aisle) has completely disappeared as an option from the updated app? Visually, much better looking though.",Positive
Love that you can track inbound routes. Simple but great.,Positive
Can no longer store altitude card. Otherwise nice update.,Positive
"good, but it should be better to be downloaded in China's app store",Positive
"So much happier with the new app. Haven't had time to really check the whole thing out, but had to provide some feedback.",Positive
Love this app! Gives you up to date status and provides everything you need at the touch of a button!,Positive
"Great flight tracking, schedules and app only features. Besides the usual schedules, alerts, booking, the are some nifty app only features like tracking the Inbound flight (know the chances of your flight getting delayed), view flight load and an offline boarding pass.",Positive
"Here is a feature request for the android smart watch (wear OS) version of the app. Please make the app force the display of the watch to stay on for at least 60 seconds when displaying the boarding pass. And also please display the boarding pass on first screen and allow to slide right to see fly detail. As the app is now, it's practically impossible to use as the watch always go back in ambient mode to soon. Best regards",Positive
"After december 10th update, app will not load. I get an error message now and the app shuts down. nice. I really need this app to work for upcoming flights, this is very frustrating for me, and, I'm guessing many others. Update...the next update fixed the shutdown problem and the app runs much better...thank you for fixing! Bugs were fixed, for sure, no troubles for 6 months or more. Thank you, again for fixing!",Positive
Great service always.,Positive
"I travel with Air Canada at least twice a month. About a year ago, this app was garbage. Now, it makes flying simpler. Period. If you fly Air Canada, use the app. 4 stars because room for improvement aesthetically and could use more seamless integration with tracking booked flights and calendar apps.",Positive
No idea why there aren't higher reviews for this app. Not a major fan of this airline but the app is so convenient that it actually names me want to fly more often with aircanada. Hoping this means improvements across the board for the whole company.,Positive
"Pleasent+easily read&understood app+helpful staffon ground+aboard. I enjoyed A C. this time around,and will reconmend it. No trouble on trip - I enjoyed these new airplanes>A320-200&B787-8Dreamliner-I did research on these planes.I was excited,and somewut impressed. Whitehorse-Montreal. Canadian Aboriginal Aids Network Conference-Aug 25-29,2019 recently.",Positive
good but i wish they improve the booking feature. i want something like cheapoair that shows live lowest fares when i hover each date in the calendar.,Positive
"Flawless, really. Added bonus to be able to track the inbound flight that will become your outbound flight!",Positive
Always great service. Accomadating every time I fly with AC.,Positive
"works great, a lot of improvements and ease of operation",Positive
It's fine but not the best and it would be great if you could save your boarding pass to Google pay,Positive
the app makes it easy to track flights.,Positive
Usually very easy to use and check in for all my flights,Positive
Very easy to use and a very well crafted design.,Positive
Excellent tool to stay on top of your flights,Positive
"easy to use, like boarding pass access",Positive
Wonderful App. Everything at your fingertips,Positive
Very useful app to keep one informed of essential travel information,Positive
Great and Easy App to use!!!,Positive
Works well and simple to use.,Positive
The new app is more user friendly,Positive
This app works great for me.,Positive
great app. occasional glitches but not bad,Positive
Very good airline,Positive
Fast and accurate flight information,Positive
"april 1 update, fixed crash issue",Positive
"Good app, info when you need it.",Positive
Very pleasant staff. landing were so smooth without drama,Positive
Great,Positive
"Surprisingly good app, very convenient.",Positive
Very useful and handy.,Positive
Very useful app,Positive
Good for in flight entertainment,Positive
Very Good app but need more updates,Positive
Does what it says,Positive
I feel it's next generation flight reservation app.,Positive
Works gud,Positive
Like having my flights at my finger tips,Positive
"This app did not work for me for i am not able to afford the cost of any tickets, as a black man. I have a son.",Positive
Great help for sublo staffs as well,Positive
Leo blamed me for this app's low rating. To counter his baseless accusations I'll rate it 5 stars.,Positive
Very User friendly,Positive
Was very happy and will use them again,Positive
works well with Samsung!,Positive
My dad made this app,Positive
great app no problema,Positive
Check-in from Florida to Canada App worked great. Was afraid to try after reading reviews.??.,Positive
One of the best airlines ever,Positive
Excellent went.I am travelling,Positive
User friendly App.,Positive
The new app is lit. Keep rocking,Positive
 love Air Canada. Are good people and very professional,Positive
Does what I need.,Positive
"don't use it that much, no opinion.",Positive
Easy to use,Positive
Works well so far,Positive
It's awesome,Positive
new experience is painless,Positive
very good thank you air Canada,Positive
is very helfull,Positive
not Too bad,Positive
good app actually,Positive
working again.,Positive
Extremely accurate,Positive
Not bad..a little slow. Needs better functionality of the check-in... Should auto populate the reference number like the old app,Positive
Optimal,Positive
Amazing app,Positive
Fantastic,Positive
Fast ,Positive
love it!,Positive
Seems to keep getting better. Try it again if you had issues with a previous version. Pretty good now.,Positive
I dont know what everyone is talking about. I was also affected by the hack and I was able to change my password. At first it didnt work but you just have to be patient with the app. The company gets hacked and now everyone is there giving 1 star reviews as if that is going to fix the issues that you have with not knowing how to follow the instructions that they give you. Its 2018 hackers are out there and things like these happen regularly. The company does it's best to protect your information but mistakes happen. I am sure all of you have made mistakes at your workplace. At least the company saw the problem and acted on it RIGHT AWAY. Only about 1% of us was affected by this. (Probably more) but they acted so only a handful of people were affected. The app is a great tool for anyone flying with air Canada.,Positive
This app was so helpful. I didn't have to use a search engine. I got all my flight info at my finger tips.,Positive
"I love the app and have no problems, they had a crash for a day and went back working fine... I bought my ticket last year via the app and they kept me up to date with notifications and all about every change and detail about my flight, I just bought my ticket with them and everything seems to be fine... With all that said it's very convenient for me ??",Positive
"I don't know why there are complaints. This app is slick. Provides clear status, seats, upgrade info, boarding cards. Great!",Positive
"I use this app every 2 weeks to book my hubby's tickets for work. Been using it over a year and no issues at all. However, would like to see the option to add travel insurance.",Positive
Its been decent so far,Positive
Good app overall. Just don't use auto update on it. It will lose your boarding pass when an update is performed. This happened to me right before boarding last week.,Positive
"This app lets me track multiple trips, flights, and boarding passes. Updating flights in real time. I love it.",Positive
Air Canada actually replied to my original posting and told me that the app could do this if you linked the accounts. This was not obvious to me so there is a problem there but it did work after I looked into it. The app does retrieve my information now. Way better. Thanks for responding. When a person signs in it should pull up their flights not ask you to submit tracking numbers - useless app - perhaps the writers should try using it.,Positive
"Honestly, I do not understand the huge ranting going on about this app. It is working very well, tracking my future flights, having my Aeroplan synced, etc. The features are working as expected and information is provided as expected. I am just removing 1 star for excessive unnecessary visual information... It can be simpler and even more intuitive for its purpose.",Positive
"AC can you tell me why I can't log into my account via the app? Works fine without the app. When I try to log into the app it says my email and password isn't valid. What's the point of having an app for convenience when you can't even log in. This is infuriating. EDIT: Thanks AC, that fixed my problem. Works fine now. ??",Positive
Would appreciate being able to provide feedback on particular flights through the application.,Positive
"This is a good app. Has some intelligent input features like auto-capping names and addresses. It's easy to book flights, to manage the bookings, and to check-in. It is easy to retrieve bookings and to view the boarding pass. This is one of the best flight apps I've seen.",Positive
Works like it should. I manage and book my flights including checkin and seat selection.,Positive
App was easy to use to check in. Used it to board the flight. App was timely of flight and gate changes. App still needs improvements to even stand with the other airlines such as Delta. They have checked luggage tracking where they notify you when your luggage is ready on the carousel.,Positive
"This app has come a long way since it was first introduced a few years ago. Those first few iterations were pretty useless. But now this is a very good app and I highly recommend it to Air Canada users. You can view your e-boarding pass, get flight status, and get notifications on flight status all from this well designed app. Kudos to Air Canada for keeping with this app and making improvements. Good job.",Positive
Works great for all the things it's supposed to. Checked in for all my flights and used the app to board my flights. Ability to make changes to a booking right from the app are great. Can a be a little slow to load sometimes when it's fetching fresh I formation. But overall very responsive and snappy.,Positive
"Great app, well setup making it much easier to track your upcoming flights, manage bookings, and makes it much easier to get from security to check-in to airborne.",Positive
Very slick and has everything I need to book and board a flight.,Positive
great app...0 issues since having this app....love it,Positive
It does everything I want an airline app to do. It's intuitive and easy enough to use.,Positive
"Great app if you fly allot. I feel sorry for all the complainers on Google Play reviews. My answer to them, "" aw, muffins""",Positive
I booked my flight and preregistered for my flight with this app no problem at all. Also have very easy access to my boarding pass.,Positive
"Smooth app, however, when viewing booked flights, flight duration doesn't take time zone changes in to consideration.",Positive
Recent updates are a significant improvement,Positive
Well this app is nice but it can get really annoying and it takes a long Time to find the good movies and I am 11 years old and I like horror Movies so add horror movies and I will delete my comment and rate It 5 stars.,Positive
Excellent work! Love the standby and import booking features!,Positive
"Saying network not available... while I have full WiFi signals Edit: got replied, thanks. It's issue with Android system webview. Why not to include such helpful information in the error message? At least I can try this app now. So increased to 3 stars. Edit2: I was not able to notice any important note on somewhere top during the frustration... Please show/pop it when users need it, such as in the error message, rather than let us check the network... misleadingly. But one more star for the CS.",Positive
"Just moved from BB OS10 to Android. The bb10 version was a ported Android App but was a bit more stable and connection was much faster. As for the app itself, it is very convenient for the frequent flyer. Love the standby and upgrade list function. Ability to book flights is straightforward.",Positive
I used this app and worked great and would have given it a 5 star until I upgraded it recently. Lost all my flight information and reservations and cannot retrieve this important information for my return home. I deleted the app and reinstalled it with no success. This leaves me stuck as can't use telephone for air Canada and they have no email to confirm flight information. This is very upsetting to say the least. Richard,Negative
"Horrible. I tracked a flight from last Saturday, and because they use the same flight number regularly, I am now getting notices about this week's flight. No way to delete it, or another flight number that I entered incorrectly. Had to uninstall and reinstall (because that's the only way you can track their flights). Total garbage.",Negative
