Review,Sentiment
"Horrible. I tracked a flight from last Saturday, and because they use the same flight number regularly, I am now getting notices about this week's flight. No way to delete it, or another flight number that I entered incorrectly. Had to uninstall and reinstall (because that's the only way you can track their flights). Total garbage.",Negative
I used this app and worked great and would have given it a 5 star until I upgraded it recently. Lost all my flight information and reservations and cannot retrieve this important information for my return home. I deleted the app and reinstalled it with no success. This leaves me stuck as can't use telephone for air Canada and they have no email to confirm flight information. This is very upsetting to say the least. Richard,Negative
"6 month ago I gave a 1 to AC app, it was a mess.... Now it's getting better and better and I use it daily without any problem. Still slow and the waiting should be manage better. Next step the visual which is minimal. Keep it up",Negative
This is the worst app I've ever used. It won't let me add boarding passes for an existing reservation and checked in for. It would not let me finish the check in process and I had to use the website on a laptop instead. What's the point of offering the app if it's useless?,Negative
"This app sucks so bad that you should consider using west jet. Every second booking the check in is not working, not on the cell phone or i pad. I will consider not flying air canada anymore because of there failing app. Convinence out the window back to old style check in.",Negative
Honestly if I can give this app a zero I would. Nothing but frustration with Air Canada and Aeroplan credentials. I travel often with many airlines and this app has to be the worst. The user interface absolutely useless. So frustrating.,Negative
Worked well until november changeover in software - never works now - need name and booking reference number to do anything - why cant they use flight number or aeroplan number as well - who carries their booking refernce number? Useless app now.,Negative
"This app NEVER works. All you get is ""sorry an error has occurred. We hope to resolve this issue soon. You can't download your boarding pass or check your flight status",Negative
"Tapping ""continue"" button twice causes failure. I was unable to check-in using app. After I checked-in at air Canada web page I cannot add boarding passes to the app.",Negative
Booking references not found? I can check my booking just fine on air Canada website so this app is not working. Update 27.2.2020 - it's working again. Hopefully it still works after future updates.,Positive
You went from being a useable app which allowed you to basically check everything about your flight to basically a bloated app that points to your website. Worst is you are forced to update the app!,Negative
Doesn't work. Keeps giving me an error message every time I look up my flight. I have installed and re-installed several times to no avail.,Negative
What a garbage app. Doesn't update any information (Gate.. seat ) and it keeps giving me an error when adding the boarding pass. Such an embarrassment.,Negative
"The flow is completely wrong and unintuitive. Check-in and boarding passes under ""More"", Really? Notifications now limited to one option. All or nothing choice. And calendar integration, disapeared? Or just just hidden many layers down in a menu item. UPDATED to 3 starts from 1 because of improvements described below. Calendar synch is half there hidden a few layers down but has to be trigged manually for each trips. Still not intuitive.",Negative
"Like the other reviewers, the app is very difficult as every step taken results in a message informing me that the session is no longer available. Check-in online is easier but another barrier is the app is not compatible on any Samsung device (not available for download to our Samsung tablets from Google Play). This is not good if you have kids!!!!",Negative
"The flow is completely wrong and unintuitive. Check-in and boarding passes under ""More"", Really? Notifications now limited to one option. All or nothing choice. And calendar integration, disapeared? Or just just hidden many layers down in a menu item. UPDATED to 3 starts from 1 because of improvements described below. Calendar synch is half there hidden a few layers down but has to be trigged manually for each trips. Still not intuitive.",Negative
"Your app is as bad as your customer service. Absolutely garbage. Will not get another dollar from me after throwing up error codes, and TRIPLE CHARGING ME for a single ticket. And not even giving it to me. Then sitting on hold for 3 HOURS, WHILE OFFERING ""GREAT CUSTOMER SERVICE"" figure it out",Negative
"Terrible!!!!!!!!!!!!!!!!!!!!!! Old App gave you so much more! Used the App in December to do an e-upgrade for my self and a companion, received a confirmation, then when arrived at airport there was no upgrade applied. The ticket counter couldn't fix it as they can no longer upgrade seats to Business Class, so ended up in some lousy seats in Economy. But here's the kicker, they took the upgrade credits anyway and 6 weeks later still have not given them back!",Negative
Absolutely horrible app. Basic functions such as Upgrades and Check in to flights does not work. I (50K Gold) tried to upgrade tickets on our honeymoon flight and app would not work. Direct aerplan member reservations hotline and staff at YYZ completely unfriendly and unwilling to help. Travel a lot for work and have always had good experiences. However when it came to the honeymoon flights and AC change to the new system it's been a complete failure. Do not use this app for any AC service.,Negative
"Updated Jan 25. Still buggy, and no seat preview and NO CALENDAR SYNC. PLEASE PUT BACK THE CALENDAR SYNC. Awful. Two weeks later and still absolutely awful. I cannot put my flight pass bookings on this even manually! I cannot get my boarding pass for my flight today. That is the one thing that this app is supposed to let you do. Plus you cannot see seats anymore you can't sync with your calendar, I can go on forever. What an absolutely useless piece of junk.",Negative
"Thanks for not improving the app. Bug fixes dont count. Now it crashes too! Come on AC - why no response about the app? STILL NO CALENDAR INTEGRATION!!! New interface is awful, no info summary or main page check in or boarding pass. I thought the United app from 3 years ago was bad. Shame on you for changing. There was no need. Can I give this ZERO stars?",Negative
"New app is awful. Missing a lot of functionality that was previously included. I can't even see what seats I've booked for a reservation. This is basic information that should be in any airlines app. Between this and the debacle with the new reservation system Air Canada has really dropped the ball. Update: Now the app is missing trips and is constantly showing errors when trying to add them. Again, this is basic stuff an airline app should be able to do.",Negative
"Update : Now that the tech issues have been addressed, changing to 4 stars from 1 star earlier. The checkin functionality is great and also like to call out ability to view incoming flights, often 3-4 flights down. Need to have Altitude Status and progression integrated into the app.",Positive
"This is the message I've gotten all day each time I try to use the app typical Air Canada all excuses no action. "" Our apologies, we have encountered a system error and unfortunately we are unable to complete your check-in at this time"" You may also attempt to check in on our website, at an airport kiosk or at a Check-in Assistance counter. Doesn't work on the website either so much for getting a decent seat",Negative
There are features of this app which I appreciate such as tracking the inbound flight. But compared to the previous version much needs to be done to make this useful. As of now you can't get or update your seats. I frequently get messages that my booking has been changed but there's nothing to tell me what's been changed. I even got a message that a flight was cancelled only to have it reinstated 5 minutes later after I had contacted reservations to put myself on another flight. Etc.,Negative
"Worse than the previous version. Harder to navigate. Doesn't show purchase details like Bistro vouchers like the old app did. I would have expected a better overall experience given it was a complete rewrite of the app... What is worse is the sheer number of other AC clients all saying the same thing, the previous app was pretty good, this one is horrid. Can't book flights, or find basic info. Old flights keep showing up. Someone should be fired and yet I doubt AC is reading these reviews.",Negative
"Complete junk. Can't even find my bookings. Useless. Shameful. Unacceptable. Bad. Update: a month after its inception it is still not working. I have two international bookings with AC, both of which changed booking numbers in AC's new reservation system. This dumb app can't find either one, under the old or new booking number. It is incredibly thoughtless of Air Canada to not have resolved this yet. One month later still, my bookings appeared for a while but then disappeared again.",Negative
"Sadly this app is close to useless. Air Canada used to provide information such as what gate your flight is at, but now nothing that is not on your original ticket, keeps prompting to check-in for flight, but I have.",Negative
this app is pretty but does not work. very frustrating when trying to use it for its intended purpose and it just does not work.,Negative
Their User interface is not the best but it works... Most of the time. Just to be safe always print your boarding pass. Also screen capture you boarding pass. They should explain it abit better. The app is tied to your account. Both have to match in order for it to work well. The app works but it is not very intuitive.,Negative
"This is most useless app I have ever tried to use. After I entered my reservation number, it showed the basic information and nothing else. I could not see any details, make corrections or do anything else. This has to go!",Negative
"Constantly issues. Mobile checkin doesnt work, always crashes, in flight demands doesnt load and recommend to change plugin mid-flight which cant happen. No advance seat selection can be made or eupgrades. The only good thing are the email and mobile nofitications",Negative
The app no longer connects to my 1 year old tablet. Worked last year but not now. Looks like air Canada want to charge you $10.00 to rent there iPad if you want entertainment. Just another rip off by air Canada. Sorry for air Canada your not getting g a y more money ey from me. $6000 for a week vacation and you cant even get your app to work right. You should be fired for your poor service e.,Negative
