Review,Sentiment
"Myself and 2 girls went to check in and realized one of my daughter's passport had expired (thankful we have Nexus) but custom border was close. Long story short, the check in clerk she (didnt have a name tag and I had forgotten to ask but supervisor's named was Dave) was sooooo accommodating and compassionate towards re-booking (for free) our flights, an extremely limited flight to St. Thomas, I actually was so calm and not even upset with myself that I cant travel until the next day. I was overwhelmed by the level of compassionate and understanding of the staff at Delta airlines. Thank you for making a frustrating human error and turned it into the best circumstances it can be. I am always grateful for you this situation. Thank you Dave and my check in ""angel"" at YVR airport. I am forever grateful of your generosity.",Negative
OMG. I did it so on October 23 this was my very first time flying. Nervous is a understatement. I about crapped my pants. Not to mention i had 4 children under the age of 10 to accompany me. As i boarded the plane it was pretty much smooth even though I did not know what to expect. At take off my 5 year old daughter screamed her lungs off i'm sure scaring other passengers. As a mom I had to stay calm even though my heart was in my stomach. In the air i was a nervous wreck but it's not like I could get off. The turbulence omg omg omg it was consistent even freaked me out more.,Negative
Once the flight attendant Kara and Jay found out it was my first flight they treated me so very well. They continued to check on me and my children. I had a couple drinks before i realized it i'm like what turbulence. If i could have tipped these two I would but they were not allowed to take tips. Kara and Jay you guys were awesommmmeeeeeeeeeeeeeeeeeeeeeeee sauce and I appreciate you all so so so so so so so very much and I wish them best of luck.,Positive
"Our last 2 experiences with Delta have really helped restore my faith in humanity. About a month and a half ago, my wife and 6 y/o daughter missed their flight due to weather and terrible traffic. Long story short, they were put on the next flight. My wife asked if they needed her card number and the girl in customer service said, “We're not gonna charge you.” I almost fell over. A few days ago, there was a mix up in flights (again it was OUR mistake, not Delta’s). We were traveling with our 2 children and my mother in law. Luckily we called ahead to confirm. Turns out, my mother in law was departing out of a different airport. Again, they fixed the issue (the DAY before the flight no less) and AGAIN, didn’t charge us. After these experiences, I would HIGHLY recommend Delta to anyone. Keep it up! Unfortunately, we threw the paper out with these awesome employees’ names.",Negative
"Since 2009 I have flown to Philippines for personal and business purposes. After using multiple airlines, Delta comes out on top for superior customer service. The staff are clearly motivated, engaged, and interested in any passenger needs. I appreciate so much that about every hour or so there are staff up and down the aisles offering drinks and one can always go to the kitchen area for more if needed. And the meals and snacks seem to keep coming at just the right intervals.",Positive
"Sadly the performance on partner Korean Air fails to meet Delta standards and on their flights I feel I'm dying of need for food or drink long before it's offered and the staff at the Korean Air gate act as if Delta ticket holders are imposters. I've been using Korean Air lately because I'm most comfortable with seat choice on the 747 and mourn the loss of that plane from your Delta fleet -- guess I'm just old fashioned but there is something irreplaceably comforting about a 747 4 engine aircraft with such an impeccable and decades long safety record. As a repeat flyer I would gladly pay extra for a Delta 747 seat to help pay for the higher fuels costs -- couldn't you reconsider its demise and offer it as a special option? Anyway, many thanks for your ongoing top performance and yes I will continue to fly Delta and partners.",Negative
"Highly recommend, the best company, excellent in customer service. My daughter booked two trips next month from American Airline and Delta. When I did change today, the two companies response are totally different. Delta customer service is excellent, they respond to the phone call immediately, an agent on phone resolving the issue with a warm heart, do the best assistant me, you will feel the world is beautiful because there are beautiful people.",Positive
"Amerian Airline customer service is horrible. It not just waiting for 30 minutes to get a response. Also the agent on the phone is heartless, Cold. The ticket is $1200. The agent refuses correction ticket, credit or refund. The flight schedule is a half month from today, make me total confuse, it is a conspiracy that big company (AA) cheater customers and take advantage of consumers. The response from Both Airline Company, The Result is: AA is the worst Airline Company. Delta is the best company, they are beautiful people and make the world a beautiful Place to live. Highly Recommend!!",Negative
"I only gave a 1 because that was the only option, otherwise I would have left that part blank. The caronavirus is everywhere. Nobody planned for this. My mother and I had booked our flights a while back and we are supposed to be going April 15th. We decided we shouldn’t be flying even if everything is cleared up at that time. I just started a new job and was approved for vacation when I was hired. I will not have a vacation by the time their credit that they were offering was going to expire. We asked if they could make an exception and they wouldn’t.",Negative
"Pretty sad that other companies have refunded a few friends of mine that were supposed to be traveling. Even Allegiance refunded one of my friends. Delta is a very well known airline, you’d think they’d care a little more about their customers instead of trying to hoard the money. Now I get to pay into their payroll and now also get to rent a car to drive down to South Carolina from New York. Keepin it classy delta, keepin it classy.",Negative
"I bought tickets to Florida in order to go to a couple of spring training baseball games. When the games were cancelled I attempted to go anyway. Domestic travel has been strongly discouraged and I had to cancel. Delta kept 1/2 of the fees, $600, and credited me for the other $600 towards future travel. This was beyond my control, a global pandemic. I should not be penalized for this. Next time I will drive.",Negative
My wife and I purchased 1st class tickets many months ago prior to the Corona-virus outbreak. My wife became very sick with a nasty sinus infection and as the Corona-Virus was in full swing many people began cancelling trips. I am close to 70 years old and felt it was not a good idea for my sick wife or myself to travel at this time. This was an unusual experience as I am sure it was for everybody. Our flight down to Nashville was with Jetblue. They immediately refunded our money with no problem.,Negative
"When calling Delta it took 2 hours of waiting time to get through and a ridiculous battle to get them to refund our money. They fought me every inch of the way. They beat me down to a point that I finally took what they offered which was 100 buck per ticket which was a total of a 200 dollar loss. We felt that under these condition they would simply refund our money our of good faith. I will never fly Delta and would NOT recommend to anybody to use them. Remember my wife was very sick and the Corona-Virus was in full swing. Seems like it would have simply been the right thing to do. I received refunds from all hotels, and Jetblue with no problem at all. Delta, You have not behaved in an honorable way and people will not forget this.",Negative
"The app worked great for awhile, but now I cant even look into booking a flight. If you put in an airport in the from and to sections, it stays blank. The number one feature, being able to book or check out potential rates and prices, is unusable. The app was never great, but if it fails to perform its primary function, then it is trash. Just use the website.",Negative
"Showed up a few hours early trying to get on a earlier flight. I went and spoke to the person (Holly **) a asked if there were any available seats that I may get home to my family sooner. She stated that there wasn't. However, I hung around to wait till everyone boarded to take my chances. I waited and watched as she sat the 3 standbys and heard her state that she did have 2 more empty seats. At this point I asked again. She denied me because she didn't want to do the key entries to add me to the flight. I could understand if there were no seats but she simply did not want to do the extra few key punches. This is just ridiculously unacceptable. So you have empty seats and you just chose not to add me to the flight cause you didn't feel like it. Most disrespectful thing I have ever experienced. Won't be flying Delta again.",Negative
"Spent the day on 3/12 trying to cancel a flight. Given the current climate, the hold time was 6 hours long. I was notified at 1pm that the event I was going to in Las Vegas was cancelled. Was able to easily cancel the hotel with no issue online. Sat on the phone for several hours to no avail. Tried utilizing the website but that did not work. Called this morning 3/13 sat on the phone for 2 hours. Finally got through to someone. I was told no refunds only flight credits... Flight credits for 5 people who will not ever clearly be traveling again. I get you are trying to stave off the tail spin of your stock plummeting, but do right by your customers. I frequently fly and was thinking of applying for your credit card. I already hold the American Airlines Elite card. But not after this experience. I also have time and resources to fight to get my money back and ""fend for the little guy"". I assure you, you went to war with the wrong person. :-) Delta **.",Negative
"Please do not call to get information about changing your flight because of the coronavirus. I merely asked to know Delta policy should I need to change my flight due to the virus. After he told me about the $300.00 change fee he then said It must be done on this call or not at all. All I wanted was info and I told him that immediately. He said it was on this call or not at all. I am 79 years old and I thought I was being cautious but instead I got punished. He said they are not allowed to reveal that information at the start of the call. Very shady, very disappointed with Delta.",Negative
Delta Air Lines was great. Their customer service was wonderful. My flight was great even though I missed it due to changes at the terminal. I recommend them. We should have more airlines like this.,Positive
